time/total_timesteps,rollout/ep_len_mean,time/fps,time/episodes,rollout/exploration_rate,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/loss
41324,28.45,3,1716,0.05,17.45,12118,0.0001,10080,0.7143210768699646
41458,28.77,3,1720,0.05,17.77,12155,0.0001,10114,0.281123548746109
41556,28.09,3,1724,0.05,17.09,12184,0.0001,10138,0.7108379602432251
41624,28.06,3,1728,0.05,17.06,12205,0.0001,10155,0.6741042137145996
41768,28.03,3,1732,0.05,17.03,12245,0.0001,10191,0.5782581567764282
41870,27.65,3,1736,0.05,16.65,12275,0.0001,10217,0.66135573387146
42052,28.1,3,1740,0.05,17.1,12324,0.0001,10262,0.4268609881401062
42229,28.91,3,1744,0.05,17.91,12372,0.0001,10307,0.5286595225334167
42354,28.64,3,1748,0.05,17.64,12406,0.0001,10338,0.17359423637390137
42418,28.23,3,1752,0.05,17.23,12427,0.0001,10354,0.22325555980205536
42542,28.41,3,1756,0.05,17.41,12461,0.0001,10385,0.23563973605632782
42651,28.63,3,1760,0.05,17.63,12493,0.0001,10412,0.32867005467414856
42769,28.83,3,1764,0.05,17.83,12526,0.0001,10442,0.08639992028474808
42899,29.24,3,1768,0.05,18.24,12563,0.0001,10474,0.017888279631733894
43017,29.6,3,1772,0.05,18.6,12596,0.0001,10504,0.1856192946434021
43166,29.71,3,1776,0.05,18.71,12637,0.0001,10541,0.16958141326904297
43305,29.99,3,1780,0.05,18.99,12675,0.0001,10576,0.28570812940597534
43388,29.63,3,1784,0.05,18.63,12700,0.0001,10596,0.8400614857673645
43487,29.52,3,1788,0.05,18.52,12729,0.0001,10621,0.23871339857578278
43610,29.57,3,1792,0.05,18.57,12763,0.0001,10652,0.014548029750585556
43746,29.43,3,1796,0.05,18.43,12801,0.0001,10686,0.5824368000030518
43840,29.23,3,1800,0.05,18.23,12829,0.0001,10709,0.6335409283638
43957,29.57,3,1804,0.05,18.57,12862,0.0001,10739,0.062146998941898346
44066,29.57,3,1808,0.05,18.57,12893,0.0001,10766,0.5165049433708191
44183,29.47,3,1812,0.05,18.47,12926,0.0001,10795,0.11516427993774414
44307,29.83,3,1816,0.05,18.83,12961,0.0001,10826,0.3615003228187561
44434,29.76,3,1820,0.05,18.76,12997,0.0001,10858,0.24765244126319885
44592,30.36,3,1824,0.05,19.36,13040,0.0001,10897,0.7405558824539185
44696,30.72,3,1828,0.05,19.72,13070,0.0001,10923,0.2114749550819397
44849,30.81,3,1832,0.05,19.81,13111,0.0001,10962,0.7110329866409302
45003,31.33,3,1836,0.05,20.33,13154,0.0001,11000,1.820847749710083
45117,30.65,3,1840,0.05,19.65,13186,0.0001,11029,1.1340036392211914
45224,29.95,3,1844,0.05,18.95,13216,0.0001,11055,0.4535071551799774
45354,30.0,3,1848,0.05,19.0,13253,0.0001,11088,0.07770596444606781
45602,31.84,3,1852,0.05,20.84,13318,0.0001,11150,1.0957701206207275
45732,31.9,3,1856,0.05,20.9,13354,0.0001,11182,1.404009222984314
45842,31.91,3,1860,0.05,20.91,13385,0.0001,11210,0.01625712774693966
46029,32.6,3,1864,0.05,21.6,13435,0.0001,11257,0.6387557983398438
46190,32.91,3,1868,0.05,21.91,13479,0.0001,11297,0.15377455949783325
46370,33.53,3,1872,0.05,22.53,13527,0.0001,11342,0.8718101978302002
46480,33.14,3,1876,0.05,22.14,13559,0.0001,11369,0.537109375
46622,33.17,3,1880,0.05,22.17,13598,0.0001,11405,0.6103795766830444
46716,33.28,3,1884,0.05,22.28,13626,0.0001,11428,0.5198290944099426
46810,33.23,3,1888,0.05,22.23,13653,0.0001,11452,0.1195012778043747
46993,33.83,3,1892,0.05,22.83,13702,0.0001,11498,0.20312432944774628
47078,33.32,3,1896,0.05,22.32,13727,0.0001,11519,0.2346019148826599
47222,33.82,3,1900,0.05,22.82,13767,0.0001,11555,0.6364151239395142
47363,34.06,3,1904,0.05,23.06,13806,0.0001,11590,0.4868088364601135
47483,34.17,3,1908,0.05,23.17,13839,0.0001,11620,0.37641340494155884
47644,34.61,3,1912,0.05,23.61,13883,0.0001,11660,0.16931234300136566
47729,34.22,3,1916,0.05,23.22,13908,0.0001,11682,0.8914916515350342
47816,33.82,3,1920,0.05,22.82,13934,0.0001,11703,1.0043590068817139
47927,33.35,3,1924,0.05,22.35,13965,0.0001,11731,0.07582421600818634
48068,33.72,3,1928,0.05,22.72,14004,0.0001,11766,0.2775956094264984
48190,33.41,3,1932,0.05,22.41,14039,0.0001,11797,0.11943913996219635
48339,33.36,3,1936,0.05,22.36,14080,0.0001,11834,0.34116804599761963
48436,33.19,3,1940,0.05,22.19,14108,0.0001,11858,0.43703991174697876
48535,33.11,3,1944,0.05,22.11,14136,0.0001,11883,0.47947946190834045
48690,33.36,3,1948,0.05,22.36,14179,0.0001,11922,0.3506104648113251
48816,32.14,3,1952,0.05,21.14,14214,0.0001,11953,0.26898902654647827
48954,32.22,3,1956,0.05,21.22,14252,0.0001,11988,0.31992343068122864
49086,32.44,3,1960,0.05,21.44,14289,0.0001,12021,0.5188933610916138
49253,32.24,3,1964,0.05,21.24,14334,0.0001,12063,0.34387558698654175
49365,31.75,3,1968,0.05,20.75,14366,0.0001,12091,0.396724671125412
49499,31.29,3,1972,0.05,20.29,14404,0.0001,12124,0.16477404534816742
49554,30.74,3,1976,0.05,19.74,14422,0.0001,12138,0.19819310307502747
49676,30.54,3,1980,0.05,19.54,14456,0.0001,12168,0.40287208557128906
49746,30.3,3,1984,0.05,19.3,14478,0.0001,12186,0.5002670884132385
49853,30.43,3,1988,0.05,19.43,14508,0.0001,12213,0.28012874722480774
49953,29.6,3,1992,0.05,18.6,14538,0.0001,12238,0.07950090616941452
50099,30.21,3,1996,0.05,19.21,14578,0.0001,12274,0.6214685440063477
50177,29.55,3,2000,0.05,18.55,14602,0.0001,12294,0.37051862478256226
50275,29.12,3,2004,0.05,18.12,14630,0.0001,12318,0.5136141180992126
50432,29.49,3,2008,0.05,18.49,14673,0.0001,12357,0.32471606135368347
50584,29.4,3,2012,0.05,18.4,14714,0.0001,12395,1.1148972511291504
50727,29.98,3,2016,0.05,18.98,14753,0.0001,12431,1.785163164138794
50838,30.22,3,2020,0.05,19.22,14785,0.0001,12459,0.34924736618995667
50971,30.44,3,2024,0.05,19.44,14822,0.0001,12492,1.2487962245941162
51106,30.38,3,2028,0.05,19.38,14859,0.0001,12526,0.019890667870640755
51255,30.65,3,2032,0.05,19.65,14900,0.0001,12563,0.02140156552195549
51445,31.06,3,2036,0.05,20.06,14951,0.0001,12611,1.086342453956604
51585,31.49,3,2040,0.05,20.49,14990,0.0001,12646,0.6082885265350342
51719,31.84,3,2044,0.05,20.84,15027,0.0001,12679,0.6948636174201965
51843,31.53,3,2048,0.05,20.53,15062,0.0001,12710,0.5365909934043884
51948,31.32,3,2052,0.05,20.32,15092,0.0001,12736,0.5491040349006653
52068,31.14,3,2056,0.05,20.14,15126,0.0001,12766,0.06107854098081589
52174,30.88,3,2060,0.05,19.88,15156,0.0001,12793,0.6474841237068176
52385,31.32,3,2064,0.05,20.32,15212,0.0001,12846,1.4649194478988647
52562,31.97,3,2068,0.05,20.97,15259,0.0001,12890,0.13796545565128326
52608,31.09,3,2072,0.05,20.09,15274,0.0001,12901,0.4294891953468323
52789,32.35,3,2076,0.05,21.35,15323,0.0001,12947,0.9771875143051147
52870,31.94,3,2080,0.05,20.94,15347,0.0001,12967,0.31782442331314087
53110,33.64,3,2084,0.05,22.64,15410,0.0001,13027,0.5084102749824524
53178,33.25,3,2088,0.05,22.25,15431,0.0001,13044,0.2568203806877136
53349,33.96,3,2092,0.05,22.96,15478,0.0001,13087,0.5744464993476868
53433,33.34,3,2096,0.05,22.34,15503,0.0001,13108,0.2507556080818176
53547,33.7,3,2100,0.05,22.7,15535,0.0001,13136,0.27381181716918945
53653,33.78,3,2104,0.05,22.78,15566,0.0001,13163,0.14582325518131256
53754,33.22,3,2108,0.05,22.22,15596,0.0001,13188,0.7573534250259399
53924,33.4,3,2112,0.05,22.4,15643,0.0001,13230,0.9467271566390991
54163,34.36,3,2116,0.05,23.36,15705,0.0001,13290,0.1267174482345581
54293,34.55,3,2120,0.05,23.55,15742,0.0001,13323,0.5419226884841919
54456,34.85,3,2124,0.05,23.85,15786,0.0001,13363,0.7363267540931702
54597,34.91,3,2128,0.05,23.91,15825,0.0001,13399,0.8598665595054626
54775,35.2,3,2132,0.05,24.2,15873,0.0001,13443,0.18067649006843567
54893,34.48,3,2136,0.05,23.48,15906,0.0001,13473,0.4080490171909332
55000,34.15,3,2140,0.05,23.15,15937,0.0001,13499,0.6504909992218018
55103,33.84,3,2144,0.05,22.84,15967,0.0001,13525,0.22451996803283691
55215,33.72,3,2148,0.05,22.72,15999,0.0001,13553,0.4815124273300171
55364,34.16,3,2152,0.05,23.16,16040,0.0001,13590,0.16455289721488953
55531,34.63,3,2156,0.05,23.63,16085,0.0001,13632,0.29519301652908325
55647,34.73,3,2160,0.05,23.73,16118,0.0001,13661,0.1671496480703354
55781,33.96,3,2164,0.05,22.96,16156,0.0001,13695,0.7699068784713745
55909,33.47,3,2168,0.05,22.47,16192,0.0001,13727,0.4437503516674042
56112,35.04,3,2172,0.05,24.04,16246,0.0001,13777,1.4632246494293213
56248,34.59,3,2176,0.05,23.59,16284,0.0001,13811,0.31042230129241943
56381,35.11,3,2180,0.05,24.11,16321,0.0001,13845,0.6801844835281372
56562,34.52,3,2184,0.05,23.52,16370,0.0001,13890,0.37140828371047974
56730,35.52,3,2188,0.05,24.52,16415,0.0001,13932,0.4819572865962982
56850,35.01,3,2192,0.05,24.01,16448,0.0001,13962,0.4115787148475647
56982,35.49,3,2196,0.05,24.49,16485,0.0001,13995,0.3752928376197815
57149,36.02,3,2200,0.05,25.02,16530,0.0001,14037,0.24374710023403168
